doi	affiliations	countries	properties
10.1109/IREEHI.2017.8350463	Anaesthesia Intensive Care Service, Teaching Hospital Yalgado Ouedraogo, Ouagadougou, Burkina Faso;Anaesthesia Intensive Care, Teaching Hospital Blaise Compaore, Ouagadougou, Burkina Faso;Anaesthesia Intensive Care, Teaching Hospital Yalgado Ouedraogo, Ouagadougou, Burkina Faso;Anaesthesia Intensive Care, Teaching Hospital Yalgado Ouedraogo, Ouagadougou, Burkina Faso;Anaesthesia Intensive Care, Teaching Hospital Yalgado Ouedraogo, Ouagadougou, Burkina Faso;Anaesthesia Intensive Care, Teaching Hospital Yalgado Ouedraogo, Ouagadougou, Burkina Faso;Anaesthesia Intensive Care, Teaching Hospital Yalgado Ouedraogo, Ouagadougou, Burkina Faso	Burkina Faso;Italy	body,stakeholders,top down
10.1109/ITNG.2009.233		Unknown	stakeholders,top down
10.1109/LISS.2016.7854559	School of Public policy and Administration, Xi'an Jiaotong University, Xi'an, China;School of Public policy and Administration, Xi'an Jiaotong University, Xi'an, China;School of Human Settlements and Civil Engineering, Xi'an Jiaotong University, Xi'an, China;School of Public policy and Administration, Xi'an Jiaotong University, Shaanxi, China	China	body,top down
10.1109/SII.2017.8279358	Graduate School of Information Science and Engineering, Ritsumeikan University, Shiga, 525-8577, Japan;College of Information Science and Engineering, Ritsumeikan University, Shiga, 525-8577, Japan;Seoul Women's University, Seoul 01797-621, Korea;College of Information Science and Engineering, Ritsumeikan University, Shiga, 525-8577, Japan	Japan	body,feedback,top down
10.1109/ICIST.2018.8426110	Chang Gung University, Department of Computer Science and Information Engineering, Taoyuan, Taiwan, (R.O.C);Chang Gung University Department of Neurology Chang Gung Memorial Hospital Linkou Medical Center and College of Medicine, Department of Computer Science and Information Engineering, Taoyuan, Taiwan, (R.O.C)	Taiwan	body,clothes,top down,wearables
10.1109/SCSP.2018.8402671	Czech Technical University in Prague - University Center for Energy Efficient Buildings (UCEEB);Czech Technical University in Prague - University Center for Energy Efficient Buildings (UCEEB)	Unknown	involvement,participatory design,top down,stakeholders
10.1109/ICBIR.2018.8391239	Humanities and Social Sciences, College of General Education and Languages, Thai-Nichi Institute of Technology, Bangkok, Thailand	Thailand	body,stakeholders,top down,workflow,clothes
10.1109/SmartCity.2015.39		Unknown	stakeholders,participatory design,top down,wearables
10.1109/ICSMC.2011.6083764	Department of Nursing, Nayoro City University, Japan;Department of Engineering Science, Graduate School of Osaka University, Toyonaka, Japan;Department of Social Welfare, Nayoro City University, Japan	Japan	body,top down
10.1109/ICCICCT.2014.6992975	Noorul Islam University, Nagercoil, Tamilnadu, India;Department of IT, Noorul Islam University, Nagercoil, Tamilnadu, India	India	body,ideation,top down
ieeexploreieeeorgstampstampjsparnumber6393312	Robot/Cognitive Convergence Research Department, ETRI, Daejeon, Korea;Robot/Cognitive Convergence Research Department, ETRI, Daejeon, Korea	Unknown	body,stakeholders,top down,wearables
10.1109/ICORR.2013.6650458	Research Centre Technology in Care, Zuyd University of Applied Sciences, Heerlen, the Netherlands;Research Centre Technology in Care, Zuyd University of Applied Sciences, Heerlen, the Netherlands;Research Centre Technology in Care, Zuyd University of Applied Sciences, Heerlen, the Netherlands;Adaptive Systems Research Group, University of Hertfordshire, Hatfield, United Kingdom;Adaptive Systems Research Group, University of Hertfordshire, Hatfield, United Kingdom;Adaptive Systems Research Group, University of Hertfordshire, Hatfield, United Kingdom;Adaptive Systems Research Group, University of Hertfordshire, Hatfield, United Kingdom;Institute Charles Delaunay, University of Technology of Troyes, Troyes, France	France;Netherlands;United Kingdom	body,involvement,stakeholders,top down,guiding robot
10.1109/TLA.2014.6716493		Unknown	stakeholders,prototype,top down,context,participatory design
10.1109/ISC2.2016.7580791	Institute of Transportation Engineering, Department of Civil Engineering, Tsinghua University, Beijing, 100084, China;Institute of Transportation Engineering, Department of Civil Engineering, Tsinghua University, Beijing, 100084, China	China	involvement,top down
10.1109/PHT.2013.6461297	Satakunta University of Applied Sciences, Finland;Satakunta University of Applied Sciences, Finland;Satakunta University of Applied Sciences, Finland;Satakunta University of Applied Sciences, Finland;Satakunta University of Applied Sciences, Finland	Finland	stakeholders,ideation,top down
10.1109/GCCE.2017.8229483	Graduate School of Engineering, Soka University, Tokyo, Japan;Graduate School of Engineering, Soka University, Tokyo, Japan	Japan	environmental,involvement,top down,body
10.23919/ICCAS.2017.8204226	Department of Product Design, Fukuoka, 813-8503, Japan;Department of Product Design, Fukuoka, 813-8503, Japan;Department of Engineering, Kyushu Sangyo University, Fukuoka, 813-8503, Japan;Department of Engineering, Kyushu Sangyo University, Fukuoka, 813-8503, Japan	Japan	body,furniture,prototype,top down,wearables
